Number of runs: 300
Individual solver timeout after: 60s
Overall real runtime: 9381.603s
Overall CPU runtime: 9360.442s
Crashes: 22
Solved but misclassified instances: 0
Undecided instances: 129
Solved and correctly classified instances: 149

Crashed instances:
path = inputs/easy100/RNG001-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.052, cpuRuntime = 60.025
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.994
path = inputs/easy100/ROB003-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.992
path = inputs/easy100/MGT001-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.066, cpuRuntime = 60.037
path = inputs/easy100/ANA003-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.023, cpuRuntime = 59.986
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.045, cpuRuntime = 60.006
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 60.003
path = inputs/easy100/COL001-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.970
path = inputs/easy100/SWV002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.006
path = inputs/easy100/LAT002-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.989
